(2824, 39),
(2824, 15),
(2824, 16),
(2824, 28),
(2824, 7),
(2824, 36),
(2824, 27),
(2824, 47),
(2824, 24),
(2824, 32),
(2824, 34),
(2824, 2),
(2824, 26),
(2824, 46),
(2824, 48),
(2824, 8),
(1409, 39),
(1409, 16),
(1409, 28),
(1409, 7),
(1409, 36),
(1409, 27),
(1409, 32),
(1409, 34),
(1409, 2),
(1409, 26),
(1409, 11),
(1409, 8),
(5506, 39),
(5506, 15),
(5506, 16),
(5506, 28),
(5506, 7),
(5506, 36),
(5506, 27),
(5506, 24),
(5506, 48),
(5506, 32),
(5506, 34),
(5506, 2),
(5506, 26),
(5506, 11),
(5506, 8),
(5012, 39),
(5012, 16),
(5012, 28),
(5012, 36),
(5012, 27),
(5012, 47),
(5012, 5),
(5012, 24),
(5012, 40),
(5012, 32),
(5012, 34),
(5012, 2),
(5012, 26),
(5012, 48),
(5012, 8),
(4657, 39),
(4657, 16),
(4657, 7),
(4657, 28),
(4657, 27),
(4657, 21),
(4657, 24),
(4657, 36),
(4657, 48),
(4657, 32),
(4657, 34),
(4657, 2),
(4657, 26),
(4657, 8),
(3286, 34),
(3286, 39),
(3286, 32),
(3286, 16),
(3286, 28),
(3286, 27),
(3286, 36),
(3286, 24),
(3286, 48),
(3286, 2),
(3286, 15),
(3286, 26),
(3286, 11),
(3286, 8),
(2679, 39),
(2679, 15),
(2679, 32),
(2679, 16),
(2679, 28),
(2679, 7),
(2679, 36),
(2679, 27),
(2679, 24),
(2679, 48),
(2679, 34),
(2679, 2),
(2679, 21),
(2679, 26),
(2679, 11),
(2679, 8),
(9935, 39),
(9935, 32),
(9935, 16),
(9935, 28),
(9935, 27),
(9935, 52),
(9935, 7),
(9935, 24),
(9935, 48),
(9935, 34),
(9935, 2),
(9935, 26),
(9935, 1),
(9935, 21),
(9935, 8),
(2424, 39),
(2424, 15),
(2424, 28),
(2424, 32),
(2424, 16),
(2424, 21),
(2424, 6),
(2424, 36),
(2424, 2),
(2424, 45),
(2424, 7),
(2424, 27),
(2424, 24),
(2424, 47),
(2424, 48),
(2424, 34),
(2424, 52),
(2424, 26),
(2424, 8),
(7912, 34),
(7912, 39),
(7912, 45),
(7912, 28),
(7912, 32),
(7912, 16),
(7912, 52),
(7912, 7),
(7912, 1),
(7912, 27),
(7912, 0),
(7912, 48),
(7912, 8),
(7912, 36),
(7912, 24),
(7912, 47),
(7912, 6),
(7912, 15),
(7912, 2),
(7912, 26),
(7912, 11),
(1520, 39),
(1520, 26),
(1520, 16),
(1520, 28),
(1520, 32),
(1520, 34),
(1520, 7),
(1520, 24),
(1520, 27),
(1520, 8),
(1488, 39),
(1488, 16),
(1488, 28),
(1488, 7),
(1488, 27),
(1488, 24),
(1488, 32),
(1488, 34),
(1488, 23),
(1488, 41),
(1488, 26),
(1488, 8),
(2535, 39),
(2535, 15),
(2535, 16),
(2535, 28),
(2535, 36),
(2535, 27),
(2535, 5),
(2535, 24),
(2535, 40),
(2535, 32),
(2535, 34),
(2535, 2),
(2535, 26),
(2535, 48),
(2535, 8),
(4582, 39),
(4582, 16),
(4582, 28),
(4582, 36),
(4582, 27),
(4582, 24),
(4582, 40),
(4582, 32),
(4582, 34),
(4582, 2),
(4582, 26),
